Created on 11-22-2020,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume USD
1521244800.0,2018-03-17,LTCUSD,165.8,166,150.38,151.9,11269.77,1767757.87
1521158400.0,2018-03-16,LTCUSD,164.69,171.96,158,165.8,10963.28,1812324.27
1521072000.0,2018-03-15,LTCUSD,161,168,149.19,164.69,20660.97,3280046.55
1520985600.0,2018-03-14,LTCUSD,175.01,178.43,157,161,16193.23,2669180.0
1520899200.0,2018-03-13,LTCUSD,178.23,181.9,170.25,175.01,9627.04,1684122.75
1520812800.0,2018-03-12,LTCUSD,189.91,193.58,173.08,178.23,16120.49,2953068.44
1520726400.0,2018-03-11,LTCUSD,177.57,193.84,170,189.91,15830.88,2882922.75
1520640000.0,2018-03-10,LTCUSD,185.14,194.16,174.5,177.57,16351.65,3029323.92
1520553600.0,2018-03-09,LTCUSD,174.53,189.86,158,185.14,24526.93,4249597.05
1520467200.0,2018-03-08,LTCUSD,185,188.54,173.59,174.53,11716.7,2121430.14
1520380800.0,2018-03-07,LTCUSD,197.34,200.63,173.79,185,16101.05,2965405.09
1520294400.0,2018-03-06,LTCUSD,211,211.28,191.1,197.34,14954.77,3018034.82
1520208000.0,2018-03-05,LTCUSD,212.81,217,208.8,211,7884.78,1680116.63
1520121600.0,2018-03-04,LTCUSD,209.55,214.6,205.1,212.81,4710.36,987602.0
1520035200.0,2018-03-03,LTCUSD,212.3,218.28,208.67,209.55,10396.92,2226097.36
1519948800.0,2018-03-02,LTCUSD,209.07,214.34,204,212.3,7094.19,1475599.51
1519862400.0,2018-03-01,LTCUSD,202.1,215,200.71,209.07,8680.7,1816874.58
1519776000.0,2018-02-28,LTCUSD,215.92,223,201.7,202.1,17019.16,3592796.59
1519689600.0,2018-02-27,LTCUSD,218.37,222.95,211.6,215.92,18722.37,4067772.47
1519603200.0,2018-02-26,LTCUSD,217,232,214.25,218.37,31408.58,7002053.51
1519516800.0,2018-02-25,LTCUSD,207,222.2,199.78,217,22611.1,4773746.99
1519430400.0,2018-02-24,LTCUSD,205.52,218.88,193.66,207,22610.11,4644028.36
1519344000.0,2018-02-23,LTCUSD,193.7,216.76,182.3,205.52,27763.3,5559225.58
1519257600.0,2018-02-22,LTCUSD,209.01,222,188,193.7,35754.37,7260630.68
1519171200.0,2018-02-21,LTCUSD,228.13,232.48,202.81,209.01,41616.59,8950698.22
1519084800.0,2018-02-20,LTCUSD,221.2,254,220.8,228.13,41415.65,9899972.76
1518998400.0,2018-02-19,LTCUSD,213.1,226.18,212.11,221.2,11107.8,2460311.0
1518912000.0,2018-02-18,LTCUSD,227.01,232,210.1,213.1,29528.76,6525777.51
1518825600.0,2018-02-17,LTCUSD,228.43,233,223.2,227.01,15837.89,3605866.13
1518739200.0,2018-02-16,LTCUSD,221.17,235,209.4,228.43,29740.47,6639107.03
1518652800.0,2018-02-15,LTCUSD,213.4,238.4,207,221.17,59396.28,13217993.29
1518566400.0,2018-02-14,LTCUSD,159.67,218.34,159.09,213.4,76243.49,14839345.06
1518480000.0,2018-02-13,LTCUSD,161.44,163.5,152.38,159.67,13340.44,2098848.73
1518393600.0,2018-02-12,LTCUSD,149.01,164,148.56,161.44,11641.16,1849432.72
1518307200.0,2018-02-11,LTCUSD,155.39,155.59,139.96,149.01,16532.18,2460358.84
1518220800.0,2018-02-10,LTCUSD,162,170,147.25,155.39,30022.29,4776910.12
1518134400.0,2018-02-09,LTCUSD,149.22,164.5,141.71,162,21757.57,3338961.53
1518048000.0,2018-02-08,LTCUSD,137.78,152,137.09,149.22,21232.41,3104901.64
1517961600.0,2018-02-07,LTCUSD,142,157.9,130.52,137.78,31151.53,4493061.5
1517875200.0,2018-02-06,LTCUSD,124.8,147.23,106.47,142,65178.92,8110841.36
1517788800.0,2018-02-05,LTCUSD,146.62,153.14,117.01,124.8,59500.17,7972675.6
1517702400.0,2018-02-04,LTCUSD,162,174,137,146.62,43944.04,6822598.54
1517616000.0,2018-02-03,LTCUSD,132.19,166.5,120.1,162,20747.26,3029138.23
1517529600.0,2018-02-02,LTCUSD,143.5,143.86,107.38,132.19,41233.1,5173819.73
1517443200.0,2018-02-01,LTCUSD,164.9,167.09,132.32,143.5,22315.34,3320227.93
1517356800.0,2018-01-31,LTCUSD,166.15,169,157.11,164.9,13308.25,2166638.78
1517270400.0,2018-01-30,LTCUSD,182.3,182.3,161.23,166.15,22868.45,3901697.4
1517184000.0,2018-01-29,LTCUSD,195.8,196.55,178.81,182.3,12088.78,2232210.91
1517097600.0,2018-01-28,LTCUSD,182,197.9,180.9,195.8,15158.95,2886641.78
1517011200.0,2018-01-27,LTCUSD,176.21,185,173,182,8739.59,1576094.49
1516924800.0,2018-01-26,LTCUSD,178.51,184,164,176.21,11000.3,1922274.03
1516838400.0,2018-01-25,LTCUSD,180.7,185,174.98,178.51,12805.19,2315132.35
1516752000.0,2018-01-24,LTCUSD,177.14,185.24,171.5,180.7,11132.41,1990346.37
1516665600.0,2018-01-23,LTCUSD,176.31,187,164.01,177.14,12460.08,2194274.17
1516579200.0,2018-01-22,LTCUSD,189.9,195,163.89,176.31,15530.44,2756466.42
1516492800.0,2018-01-21,LTCUSD,210,210.02,181.46,189.9,16653.72,3219373.94
1516406400.0,2018-01-20,LTCUSD,191.49,215,190,210,15495.67,3167792.07
1516320000.0,2018-01-19,LTCUSD,187,199.88,180.58,191.49,14288.63,2710684.7
1516233600.0,2018-01-18,LTCUSD,185.91,204.9,172.25,187,35083.94,6686893.83
1516147200.0,2018-01-17,LTCUSD,180.36,197.5,135.5,185.91,53251.49,8968797.29
1516060800.0,2018-01-16,LTCUSD,230,231,140.01,180.36,55148.75,10392809.99
1515974400.0,2018-01-15,LTCUSD,236,243,230,230,13884.06,3289579.65
1515888000.0,2018-01-14,LTCUSD,258.03,271.73,227.88,236,20638.06,5051620.01
1515801600.0,2018-01-13,LTCUSD,234,262.54,234,258.03,18324.34,4506633.14
1515715200.0,2018-01-12,LTCUSD,226.5,241.11,217.98,234,12550.15,2915878.92
